ID,Program_Code,Min_Seniority,Max_Seniority,Origin_State,Days,Travel_Type,Departure_Date,Return_Date,Participant,Total_Participants,First_Communicarion,Last_Communicarion,Cancelled,Discounted,Initial_Date,Region,Company_Sponsor,Product_Type,Type_Low_Seniority,Type_High_Seniority,Type_Seniority,Departure_Month,Type_Low,Type_High,Type,Code_Aggregation,Same_Type_Flag,Enrollment,Participant_Ratio,Participant_Difference,Retained
HC-293-40709,HC,7,7,CA,7,A,06/15/11,06/21/11,28,30,03/02/10,08/31/10,7,1,02/27/10,Southern California,0,East Coast,5-8,5-8,,June,2,5-8,2-5-8,H,0,0.027153558,0.935483871,2,1
HD-307-40641,HD,8,8,CA,5,A,04/08/11,04/12/11,62,68,02/24/10,08/28/10,1,4,02/27/10,Northern California,0,East Coast,5-8,5-8,,April,1,5-8,1-5-8,H,0,0.116071429,0.915492958,6,1
HD-464-40663,HD,7,7,TN,5,T,04/30/11,05/04/11,72,79,03/12/10,08/23/10,0,8,02/27/10,Other,0,East Coast,5-8,5-8,,May,1,1,1-1,H,1,0.116923077,0.915662651,7,1
HD-478-40649,HD,7,7,ME,3,A,04/16/11,04/18/11,19,21,02/28/10,09/02/10,2,3,02/27/10,Other,0,East Coast,5-8,5-8,,April,5-8,5-8,5-8-5-8,H,1,0.031666667,0.904761905,2,0
HD-491-40623,HD,9,10,MN,4,A,03/21/11,03/24/11,30,32,02/28/10,08/25/10,2,2,02/27/10,Other,1,East Coast,>8,>8,,March,>8,>8,>8->8,H,1,0.058943089,0.935483871,2,0
HD-515-40676,HD,7,7,TN,4,A,05/13/11,05/16/11,66,73,02/24/10,08/04/10,9,7,02/27/10,Other,0,East Coast,5-8,5-8,,May,1,5-8,1-5-8,H,0,0.07751938,0.909090909,7,1
HD-545-40696,HD,4,4,OK,5,A,06/02/11,06/06/11,28,30,03/01/10,09/03/10,3,3,02/27/10,Other,0,East Coast,<5,<5,<5-<5,June,1,1,1-1,H,1,0.038352273,0.931034483,2,1
HD-639-40624,HD,7,7,TN,5,T,03/22/11,03/26/11,45,50,02/24/10,08/25/10,6,6,02/27/10,Other,0,East Coast,5-8,5-8,5-8-5-8,March,5-8,5-8,5-8-5-8,H,1,0.055487053,0.9,5,1
ST-648-40634,ST,8,10,WA,5,A,04/01/11,04/05/11,12,13,03/02/10,09/11/10,1,1,02/27/10,Pacific Northwest,0,West,5-8,>8,,April,5-8,5-8,5-8-5-8,S,1,0.015406162,0.916666667,1,0
HD-734-40696,HD,5,5,OK,5,A,06/02/11,06/06/11,26,28,02/20/10,08/25/10,2,1,02/27/10,Other,0,East Coast,<5,<5,,June,1,1,1-1,H,1,0.038352273,0.931034483,2,1
HD-779-40696,HD,9,9,IN,6,T,06/02/11,06/07/11,34,36,02/23/10,08/29/10,2,3,02/27/10,Other,0,East Coast,5-8,5-8,5-8-5-8,June,5-8,5-8,5-8-5-8,H,1,0.09,0.947368421,2,1
HD-861-40641,HD,7,7,TX,5,A,04/08/11,04/12/11,43,47,05/05/10,08/12/10,2,3,02/27/10,Houston,1,East Coast,5-8,5-8,5-8-5-8,April,1,1,1-1,H,1,0.064465409,0.911111111,4,1
HC-910-40691,HC,8,9,AZ,5,A,05/28/11,06/01/11,15,17,02/23/10,08/27/10,3,2,02/27/10,Other,0,East Coast,5-8,5-8,,May,<5,5-8,<5-5-8,H,0,0.031914894,0.882352941,2,0
HC-971-40695,HC,7,8,CO,5,A,06/01/11,06/05/11,17,19,04/18/10,09/01/10,3,1,02/27/10,Other,0,East Coast,5-8,5-8,,June,5-8,5-8,5-8-5-8,H,1,0.039387309,0.9,2,0
HC-1008-40697,HC,5,7,TX,5,A,06/03/11,06/07/11,7,8,02/24/10,08/20/10,3,0,02/27/10,Houston,0,East Coast,5-8,5-8,5-8-5-8,June,5-8,5-8,5-8-5-8,H,1,0.013207547,0.875,1,1
HD-1067-40639,HD,7,7,CA,5,A,04/06/11,04/10/11,48,53,03/08/10,08/25/10,8,4,02/27/10,Northern California,0,East Coast,5-8,5-8,5-8-5-8,April,5-8,5-8,5-8-5-8,H,1,0.089719626,0.905660377,5,1
HD-1095-40654,HD,7,7,CA,6,A,04/21/11,04/26/11,37,41,03/01/10,08/30/10,1,4,02/27/10,Northern California,0,East Coast,5-8,5-8,5-8-5-8,April,2,2,2-2,H,1,0.056451613,0.897435897,4,1
HD-1136-40697,HD,7,9,TX,4,A,06/03/11,06/06/11,29,31,02/24/10,09/13/10,9,1,02/27/10,Houston,0,East Coast,5-8,5-8,5-8-5-8,June,5-8,5-8,5-8-5-8,H,1,0.052727273,0.935483871,2,1
SC-1153-40702,SC,7,8,CA,7,A,06/08/11,06/14/11,4,5,02/21/10,09/23/10,0,2,02/27/10,Northern California,0,Costa Rica,5-8,5-8,,June,5-8,5-8,5-8-5-8,S,1,0.004278075,0.8,1,1
HO-1162-40697,HO,8,9,TX,4,A,06/03/11,06/06/11,15,17,03/10/10,08/24/10,6,1,02/27/10,Dallas,0,East Coast,5-8,5-8,,June,5-8,5-8,5-8-5-8,H,1,0.018300654,0.875,2,1
HD-1235-40662,HD,9,9,UT,5,A,04/29/11,05/03/11,15,16,02/26/10,08/22/10,0,2,02/27/10,Other,0,East Coast,5-8,5-8,5-8-5-8,May,1,1,1-1,H,1,0.072916667,0.933333333,1,1
HD-1287-40639,HD,9,9,CA,7,A,04/06/11,04/12/11,19,21,02/27/10,08/17/10,2,3,02/27/10,Northern California,0,East Coast,5-8,5-8,,April,2,2,2-2,H,1,0.085308057,0.9,2,1
HC-1307-40688,HC,9,9,CO,6,A,05/25/11,05/30/11,43,50,03/17/10,08/21/10,13,5,02/27/10,Other,0,East Coast,5-8,5-8,,May,5-8,5-8,5-8-5-8,H,1,0.041,0.854166667,7,1
HD-1340-40678,HD,9,9,OH,4,A,05/15/11,05/18/11,92,99,03/11/10,08/25/10,9,9,02/27/10,Other,1,East Coast,5-8,5-8,5-8-5-8,May,5-8,5-8,5-8-5-8,H,1,0.149230769,0.932692308,7,0
HD-1346-40583,HD,8,8,CA,6,A,02/09/11,02/14/11,30,34,03/03/10,08/25/10,1,3,02/27/10,Northern California,0,East Coast,5-8,5-8,,February,5-8,5-8,5-8-5-8,H,1,0.042666667,0.888888889,4,1
HD-1413-40692,HD,8,8,CO,5,A,05/29/11,06/02/11,9,10,03/09/10,08/25/10,1,0,02/27/10,Other,0,East Coast,5-8,5-8,5-8-5-8,June,5-8,5-8,5-8-5-8,H,1,0.06097561,0.909090909,1,1
HD-1477-40690,HD,8,8,IL,5,T,05/27/11,05/31/11,40,43,03/09/10,08/31/10,6,4,02/27/10,Other,0,East Coast,5-8,5-8,,May,5-8,5-8,5-8-5-8,H,1,0.076363636,0.933333333,3,1
HD-1594-40684,HD,8,8,TN,6,T,05/21/11,05/26/11,62,66,03/02/10,08/31/10,5,4,02/27/10,Other,0,East Coast,5-8,5-8,,May,5-8,5-8,5-8-5-8,H,1,0.089285714,0.942028986,4,1
HD-1607-40662,HD,7,7,IL,6,T,04/29/11,05/04/11,31,33,02/23/10,08/24/10,0,1,02/27/10,Other,0,East Coast,5-8,5-8,,May,5-8,5-8,5-8-5-8,H,1,0.051724138,0.942857143,2,0
HD-1633-40698,HD,7,7,TX,4,A,06/04/11,06/07/11,33,35,02/21/10,08/26/10,11,1,02/27/10,Houston,0,East Coast,5-8,5-8,5-8-5-8,June,5-8,5-8,5-8-5-8,H,1,0.045392022,0.942857143,2,1
HD-1864-40690,HD,7,7,IL,5,T,05/27/11,05/31/11,40,43,03/05/10,08/27/10,6,4,02/27/10,Other,0,East Coast,5-8,5-8,,May,5-8,5-8,5-8-5-8,H,1,0.076363636,0.933333333,3,1
HD-1871-40626,HD,8,9,WA,4,A,03/24/11,03/27/11,8,9,02/27/10,08/24/10,2,2,02/27/10,Pacific Northwest,0,East Coast,5-8,5-8,,March,5-8,5-8,5-8-5-8,H,1,0.010362694,0.888888889,1,1
ST-1923-40634,ST,8,10,WA,5,A,04/01/11,04/05/11,10,11,03/02/10,09/11/10,1,0,02/27/10,Pacific Northwest,0,West,5-8,>8,,April,5-8,>8,5-8->8,S,0,0.015406162,0.916666667,1,0
HC-1936-40695,HC,9,9,TX,5,A,06/01/11,06/05/11,26,29,03/03/10,09/16/10,9,3,02/27/10,Houston,0,East Coast,5-8,5-8,5-8-5-8,June,5-8,5-8,5-8-5-8,H,1,0.016383113,0.896551724,3,1
HO-1953-40697,HO,7,8,TX,4,A,06/03/11,06/06/11,15,17,03/05/10,08/19/10,4,2,02/27/10,Dallas,0,East Coast,5-8,5-8,,June,5-8,5-8,5-8-5-8,H,1,0.018300654,0.875,2,1
HD-2016-40603,HD,7,7,NY,3,A,03/01/11,03/03/11,144,157,03/11/10,08/08/10,10,16,02/27/10,Other,0,East Coast,5-8,5-8,5-8-5-8,March,5-8,5-8,5-8-5-8,H,1,0.111201299,0.913333333,13,1
HC-2019-40605,HC,7,7,CA,7,A,03/03/11,03/09/11,62,66,03/10/10,08/13/10,5,5,02/27/10,Southern California,0,East Coast,5-8,5-8,5-8-5-8,March,2,2,2-2,H,1,0.106557377,0.942028986,4,1
HD-2157-40706,HD,7,7,OH,3,A,06/12/11,06/14/11,10,12,02/26/10,09/03/10,3,2,02/27/10,Other,0,East Coast,5-8,5-8,,June,5-8,5-8,5-8-5-8,H,1,0.012629162,0.846153846,2,0
HD-2181-40673,HD,8,8,IL,3,A,05/10/11,05/12/11,61,66,02/22/10,08/21/10,6,4,02/27/10,Other,0,East Coast,5-8,5-8,5-8-5-8,May,5-8,5-8,5-8-5-8,H,1,0.0802213,0.920634921,5,1
HC-2182-40688,HC,9,9,CO,6,A,05/25/11,05/30/11,41,48,03/08/10,08/12/10,15,7,02/27/10,Other,0,East Coast,5-8,5-8,5-8-5-8,May,5-8,5-8,5-8-5-8,H,1,0.041,0.854166667,7,1
CD-2287-40674,CD,8,8,CA,7,A,05/11/11,05/17/11,4,5,04/10/10,08/23/10,4,0,02/27/10,Southern California,0,East Coast,5-8,5-8,,May,1,5-8,1-5-8,C,0,0.018181818,0.8,1,1
HD-2299-40663,HD,7,7,TN,5,T,04/30/11,05/04/11,76,83,03/16/10,08/27/10,0,8,02/27/10,Other,0,East Coast,5-8,5-8,5-8-5-8,May,1,1,1-1,H,1,0.116923077,0.915662651,7,1
HD-2313-40697,HD,5,7,TX,4,A,06/03/11,06/06/11,29,31,02/22/10,09/11/10,8,1,02/27/10,Houston,0,East Coast,5-8,5-8,,June,5-8,5-8,5-8-5-8,H,1,0.052727273,0.935483871,2,1
HC-2376-40639,HC,8,8,CA,6,A,04/06/11,04/11/11,17,19,02/26/10,08/21/10,2,2,02/27/10,Southern California,0,East Coast,5-8,5-8,,April,2,5-8,2-5-8,H,0,NA,0.894736842,2,1
HD-2377-40612,HD,7,7,TX,4,A,03/10/11,03/13/11,48,54,03/06/10,08/09/10,15,7,02/27/10,Dallas,0,East Coast,5-8,5-8,,March,5-8,5-8,5-8-5-8,H,1,0.098562628,0.888888889,6,1
HD-2426-40631,HD,8,8,CA,6,A,03/29/11,04/03/11,63,68,03/09/10,08/19/10,8,6,02/27/10,Southern California,0,East Coast,5-8,5-8,,April,5-8,5-8,5-8-5-8,H,1,0.048,0.923076923,5,1
HD-2525-40700,HD,8,8,CA,5,A,06/06/11,06/10/11,35,40,03/06/10,08/28/10,4,6,02/27/10,Southern California,1,East Coast,5-8,5-8,,June,2,5-8,2-5-8,H,0,0.192708333,0.880952381,5,1
SK-2527-40697,SK,5,7,NM,5,A,06/03/11,06/07/11,17,18,04/07/10,08/19/10,4,1,02/27/10,Other,0,West,5-8,5-8,5-8-5-8,June,5-8,5-8,5-8-5-8,S,1,0.027633851,0.941176471,1,0
HD-2566-40639,HD,8,8,CA,6,A,04/06/11,04/11/11,42,46,02/25/10,08/30/10,6,4,02/27/10,Northern California,0,East Coast,5-8,5-8,,April,<5,<5,<5-<5,H,1,0.077777778,0.913043478,4,1
HD-2587-40641,HD,9,9,TX,5,A,04/08/11,04/12/11,39,43,04/28/10,08/05/10,2,4,02/27/10,Houston,1,East Coast,5-8,5-8,,April,1,1,1-1,H,1,0.064465409,0.911111111,4,1
HD-2599-40643,HD,9,9,MI,5,T,04/10/11,04/14/11,201,220,03/11/10,08/24/10,16,21,02/27/10,Other,0,East Coast,5-8,5-8,,April,5-8,5-8,5-8-5-8,H,1,0.262362637,0.90952381,19,1
HD-2715-40696,HD,9,9,IN,6,T,06/02/11,06/07/11,34,36,03/01/10,09/04/10,2,3,02/27/10,Other,0,East Coast,5-8,5-8,,June,5-8,5-8,5-8-5-8,H,1,0.09,0.947368421,2,1
HD-2762-40700,HD,7,7,CA,5,A,06/06/11,06/10/11,37,42,03/05/10,08/27/10,2,6,02/27/10,Southern California,1,East Coast,5-8,5-8,5-8-5-8,June,2,2,2-2,H,1,0.192708333,0.880952381,5,1
HD-2784-40697,HD,9,9,TX,4,A,06/03/11,06/06/11,9,10,02/24/10,08/16/10,0,0,02/27/10,Dallas,0,East Coast,5-8,5-8,,June,5-8,5-8,5-8-5-8,H,1,0.01125,0.9,1,1
HD-2862-40705,HD,7,7,WI,3,A,06/11/11,06/13/11,13,14,02/26/10,08/24/10,0,0,02/27/10,Other,0,East Coast,5-8,5-8,5-8-5-8,June,5-8,5-8,5-8-5-8,H,1,0.026168224,0.933333333,1,1
HD-2883-40617,HD,7,7,MI,3,A,03/15/11,03/17/11,91,99,03/03/10,09/06/10,10,7,02/27/10,Other,0,East Coast,5-8,5-8,,March,5-8,5-8,5-8-5-8,H,1,0.119736842,0.919191919,8,1
HC-2991-40691,HC,7,8,AZ,5,A,05/28/11,06/01/11,16,18,03/03/10,09/04/10,3,2,02/27/10,Other,0,East Coast,5-8,5-8,,May,<5,5-8,<5-5-8,H,0,0.031914894,0.882352941,2,0
HD-3015-40710,HD,7,8,CA,5,A,06/16/11,06/20/11,17,19,02/21/10,09/09/10,3,3,02/27/10,Southern California,0,East Coast,5-8,5-8,,June,5-8,5-8,5-8-5-8,H,1,0.018065887,0.894736842,2,0
HD-3055-40631,HD,9,9,CA,6,A,03/29/11,04/03/11,60,65,03/05/10,08/15/10,9,6,02/27/10,Southern California,0,East Coast,5-8,5-8,,April,5-8,5-8,5-8-5-8,H,1,0.048,0.923076923,5,1
HD-3089-40673,HD,9,9,IL,3,A,05/10/11,05/12/11,58,63,02/21/10,08/20/10,6,4,02/27/10,Other,0,East Coast,5-8,5-8,,May,5-8,5-8,5-8-5-8,H,1,0.0802213,0.920634921,5,1
HD-3110-40705,HD,7,7,WI,3,A,06/11/11,06/13/11,13,14,03/03/10,08/29/10,0,0,02/27/10,Other,0,East Coast,5-8,5-8,5-8-5-8,June,5-8,5-8,5-8-5-8,H,1,0.026168224,0.933333333,1,1
HC-3131-40605,HC,8,8,CA,7,A,03/03/11,03/09/11,62,66,03/14/10,08/17/10,4,3,02/27/10,Southern California,0,East Coast,5-8,5-8,,March,2,5-8,2-5-8,H,0,0.106557377,0.942028986,4,1
SK-3136-40697,SK,6,8,NM,5,A,06/03/11,06/07/11,17,18,04/13/10,08/25/10,5,0,02/27/10,Other,0,West,5-8,5-8,5-8-5-8,June,5-8,5-8,5-8-5-8,S,1,0.027633851,0.941176471,1,0
HD-3137-40583,HD,7,7,CA,6,A,02/09/11,02/14/11,32,36,03/01/10,08/23/10,2,5,02/27/10,Northern California,0,East Coast,5-8,5-8,5-8-5-8,February,5-8,5-8,5-8-5-8,H,1,0.042666667,0.888888889,4,1
HN-3142-40661,HN,8,8,FL,6,T,04/28/11,05/03/11,43,51,03/13/10,08/05/10,22,7,02/27/10,Other,0,East Coast,5-8,5-8,,May,5-8,5-8,5-8-5-8,H,1,0.05,0.849056604,8,1
HD-3168-40626,HD,7,8,WA,4,A,03/24/11,03/27/11,8,9,02/26/10,08/23/10,2,1,02/27/10,Pacific Northwest,0,East Coast,5-8,5-8,,March,5-8,5-8,5-8-5-8,H,1,0.010362694,0.888888889,1,1
HD-3176-40649,HD,8,8,ME,3,A,04/16/11,04/18/11,20,22,03/03/10,09/05/10,3,2,02/27/10,Other,0,East Coast,5-8,5-8,,April,5-8,5-8,5-8-5-8,H,1,0.031666667,0.904761905,2,0
HD-3184-40588,HD,9,9,TX,4,A,02/14/11,02/17/11,75,80,02/27/10,08/28/10,3,4,02/27/10,Dallas,0,East Coast,5-8,5-8,,February,1,1,1-1,H,1,0.101428571,0.934210526,5,1
HN-3199-40661,HN,7,7,FL,6,T,04/28/11,05/03/11,45,53,03/13/10,08/05/10,22,6,02/27/10,Other,0,East Coast,5-8,5-8,,May,5-8,5-8,5-8-5-8,H,1,0.05,0.849056604,8,1
HD-3205-40696,HD,8,8,CO,5,A,06/02/11,06/06/11,6,7,03/22/10,08/22/10,7,2,02/27/10,Other,0,East Coast,5-8,5-8,,June,5-8,5-8,5-8-5-8,H,1,0.010291595,0.857142857,1,0
HD-3214-40632,HD,8,8,TN,6,T,03/30/11,04/04/11,30,33,03/02/10,08/10/10,10,2,02/27/10,Other,0,East Coast,5-8,5-8,,April,5-8,5-8,5-8-5-8,H,1,0.110344828,0.914285714,3,1
CD-3268-40674,CD,7,7,CA,7,A,05/11/11,05/17/11,4,5,04/14/10,08/27/10,3,2,02/27/10,Southern California,0,East Coast,5-8,5-8,5-8-5-8,May,1,1,1-1,C,1,0.018181818,0.8,1,1
HD-3344-40678,HD,7,7,OH,4,A,05/15/11,05/18/11,92,99,03/08/10,08/22/10,10,7,02/27/10,Other,1,East Coast,5-8,5-8,,May,5-8,5-8,5-8-5-8,H,1,0.149230769,0.932692308,7,0
HD-3373-40700,HD,5,6,TX,4,A,06/06/11,06/09/11,8,9,03/02/10,08/10/10,2,1,02/27/10,Dallas,0,East Coast,<5,5-8,<5-5-8,June,1,1,1-1,H,1,0.01384083,0.888888889,1,0
HD-3374-40611,HD,8,8,TX,4,A,03/09/11,03/12/11,24,25,03/03/10,08/28/10,2,0,02/27/10,Houston,0,East Coast,5-8,5-8,5-8-5-8,March,5-8,5-8,5-8-5-8,H,1,0.019215372,0.96,1,1
HD-3528-40684,HD,9,9,TN,6,T,05/21/11,05/26/11,62,66,02/23/10,08/24/10,7,4,02/27/10,Other,0,East Coast,5-8,5-8,5-8-5-8,May,5-8,5-8,5-8-5-8,H,1,0.089285714,0.942028986,4,1
HD-3533-40663,HD,8,8,MI,5,T,04/30/11,05/04/11,69,77,03/06/10,08/24/10,4,10,02/27/10,Other,0,East Coast,5-8,5-8,,May,<5,5-8,<5-5-8,H,0,0.205970149,0.896103896,8,1
HD-3576-40603,HD,9,9,NY,3,A,03/01/11,03/03/11,144,157,03/10/10,08/07/10,9,11,02/27/10,Other,0,East Coast,5-8,5-8,,March,5-8,5-8,5-8-5-8,H,1,0.111201299,0.913333333,13,1
HC-3831-40686,HC,9,9,HI,9,A,05/23/11,05/31/11,23,26,02/25/10,08/23/10,6,2,02/27/10,Other,0,East Coast,5-8,5-8,,May,5-8,5-8,5-8-5-8,H,1,0.078571429,0.88,3,0
HD-3863-40643,HD,7,7,MI,5,T,04/10/11,04/14/11,201,220,03/07/10,08/20/10,13,18,02/27/10,Other,0,East Coast,5-8,5-8,5-8-5-8,April,5-8,5-8,5-8-5-8,H,1,0.262362637,0.90952381,19,1
HC-3875-40639,HC,9,9,CA,6,A,04/06/11,04/11/11,18,20,02/26/10,08/21/10,1,3,02/27/10,Southern California,0,East Coast,5-8,5-8,,April,2,5-8,2-5-8,H,0,NA,0.894736842,2,1
HD-3904-40624,HD,9,9,TN,5,T,03/22/11,03/26/11,45,50,02/25/10,08/26/10,5,5,02/27/10,Other,0,East Coast,5-8,5-8,5-8-5-8,March,5-8,5-8,5-8-5-8,H,1,0.055487053,0.9,5,1
HD-3908-40704,HD,9,9,TX,4,A,06/10/11,06/13/11,5,6,02/28/10,09/16/10,2,1,02/27/10,Houston,0,East Coast,5-8,5-8,,June,5-8,5-8,5-8-5-8,H,1,0.007246377,0.833333333,1,0
HD-3924-40639,HD,8,8,CA,7,A,04/06/11,04/12/11,19,21,03/01/10,08/19/10,1,3,02/27/10,Northern California,0,East Coast,5-8,5-8,5-8-5-8,April,2,2,2-2,H,1,0.085308057,0.9,2,1
HD-3954-40647,HD,7,7,CA,6,A,04/14/11,04/19/11,47,49,02/23/10,08/20/10,5,2,02/27/10,Northern California,0,East Coast,5-8,5-8,,April,5-8,5-8,5-8-5-8,H,1,0.040909091,0.957446809,2,1
HD-3971-40700,HD,6,7,TX,4,A,06/06/11,06/09/11,8,9,02/26/10,08/06/10,3,0,02/27/10,Dallas,0,East Coast,<5,5-8,,June,1,<5,1-<5,H,0,0.01384083,0.888888889,1,0
HD-3988-40617,HD,7,7,MI,3,A,03/15/11,03/17/11,96,104,03/01/10,09/04/10,12,6,02/27/10,Other,0,East Coast,5-8,5-8,5-8-5-8,March,5-8,5-8,5-8-5-8,H,1,0.119736842,0.919191919,8,1
HD-4033-40696,HD,9,9,CO,5,A,06/02/11,06/06/11,6,7,03/27/10,08/27/10,5,0,02/27/10,Other,0,East Coast,5-8,5-8,,June,5-8,5-8,5-8-5-8,H,1,0.010291595,0.857142857,1,0
HD-4044-40662,HD,9,9,UT,5,A,04/29/11,05/03/11,14,15,02/24/10,08/20/10,0,2,02/27/10,Other,0,East Coast,5-8,5-8,,May,1,5-8,1-5-8,H,0,0.072916667,0.933333333,1,1
HC-4132-40695,HC,8,8,TX,5,A,06/01/11,06/05/11,27,30,03/04/10,09/17/10,6,3,02/27/10,Houston,0,East Coast,5-8,5-8,,June,5-8,5-8,5-8-5-8,H,1,0.016383113,0.896551724,3,1
HD-4149-40654,HD,8,8,CA,6,A,04/21/11,04/26/11,35,39,02/27/10,08/28/10,2,5,02/27/10,Northern California,0,East Coast,5-8,5-8,,April,2,5-8,2-5-8,H,0,0.056451613,0.897435897,4,1
SC-4166-40702,SC,6,7,CA,7,A,06/08/11,06/14/11,4,5,03/02/10,10/02/10,0,1,02/27/10,Northern California,0,Costa Rica,5-8,5-8,,June,5-8,5-8,5-8-5-8,S,1,0.004278075,0.8,1,1
CD-2125-40662,CD,7,8,CA,5,A,04/29/11,05/03/11,36,38,04/15/10,09/18/10,4,1,02/28/10,Southern California,1,East Coast,5-8,5-8,5-8-5-8,May,2,2,2-2,C,1,0.082524272,0.944444444,2,0
CD-2534-40662,CD,6,7,CA,5,A,04/29/11,05/03/11,36,38,04/18/10,09/21/10,4,3,02/28/10,Southern California,1,East Coast,5-8,5-8,,May,2,5-8,2-5-8,C,0,0.082524272,0.944444444,2,0
HD-1081-40704,HD,8,9,TX,4,A,06/10/11,06/13/11,11,12,02/26/10,02/26/10,11,0,03/01/10,Dallas,0,East Coast,>8,>8,,June,Undefined,Undefined,Undefined-Undefined,H,1,NA,0.909090909,1,0
ST-1198-40705,ST,6,7,TX,4,A,06/11/11,06/14/11,14,15,02/24/10,08/21/10,3,1,03/01/10,Dallas,0,West,5-8,5-8,,June,5-8,>8,5-8->8,S,0,0.009978617,0.933333333,1,1
HD-1426-40704,HD,8,9,TX,4,A,06/10/11,06/13/11,10,11,03/02/10,03/02/10,9,1,03/01/10,Dallas,0,East Coast,>8,>8,,June,Undefined,Undefined,Undefined-Undefined,H,1,NA,0.909090909,1,0
ST-2102-40705,ST,7,8,TX,4,A,06/11/11,06/14/11,14,15,02/25/10,08/22/10,2,0,03/01/10,Dallas,0,West,5-8,5-8,,June,5-8,5-8,5-8-5-8,S,1,0.009978617,0.933333333,1,1
HD-3337-40691,HD,,,IN,5,T,05/28/11,06/01/11,33,36,03/01/10,08/13/10,5,2,03/01/10,Other,0,East Coast,Undefined,Undefined,Undefined-Undefined,May,5-8,5-8,5-8-5-8,H,1,0.034444444,0.911764706,3,1
HD-4099-40691,HD,,,IN,5,T,05/28/11,06/01/11,29,32,03/03/10,08/15/10,3,2,03/01/10,Other,0,East Coast,Undefined,Undefined,,May,5-8,>8,5-8->8,H,0,0.034444444,0.911764706,3,1
SK-107-40707,SK,8,9,PA,5,A,06/13/11,06/17/11,40,43,02/26/10,08/20/10,4,3,03/02/10,Other,0,West,5-8,5-8,,June,2,2,2-2,S,1,0.073643411,0.926829268,3,0
HD-228-40618,HD,6,7,MO,7,T,03/16/11,03/22/11,49,51,03/09/10,08/24/10,7,1,03/02/10,Other,0,East Coast,5-8,5-8,5-8-5-8,March,5-8,5-8,5-8-5-8,H,1,0.064197531,0.962962963,2,1
HD-276-40709,HD,8,8,WA,5,A,06/15/11,06/19/11,38,43,03/04/10,08/26/10,16,4,03/02/10,Pacific Northwest,0,East Coast,5-8,5-8,,June,5-8,5-8,5-8-5-8,H,1,0.052708638,0.87804878,5,1
HD-305-40689,HD,9,10,IN,5,T,05/26/11,05/30/11,31,34,03/14/10,08/09/10,10,2,03/02/10,Other,0,East Coast,5-8,>8,,May,2,2,2-2,H,1,0.066,0.916666667,3,0
HD-415-40688,HD,,,IL,3,A,05/25/11,05/27/11,57,61,03/03/10,09/03/10,7,4,03/02/10,Other,0,East Coast,Undefined,Undefined,Undefined-Undefined,May,5-8,5-8,5-8-5-8,H,1,0.103448276,0.931034483,4,1
HC-507-40691,HC,8,8,TX,5,A,05/28/11,06/01/11,14,16,03/05/10,03/05/10,4,1,03/02/10,Houston,0,East Coast,5-8,5-8,,May,5-8,5-8,5-8-5-8,H,1,0.1,0.882352941,2,0
HN-522-40610,HN,6,7,AL,5,A,03/08/11,03/12/11,25,29,02/28/10,08/20/10,8,5,03/02/10,Other,0,East Coast,<5,5-8,,March,2,2,2-2,H,1,0.01572327,0.862068966,4,1
HD-562-40590,HD,9,9,IN,3,A,02/16/11,02/18/11,110,117,03/01/10,08/09/10,12,8,03/02/10,Other,0,East Coast,5-8,5-8,,February,5-8,5-8,5-8-5-8,H,1,0.109947644,0.9375,7,1
ST-689-40704,ST,7,7,OK,5,A,06/10/11,06/14/11,5,6,02/27/10,08/22/10,0,2,03/02/10,Other,0,West,5-8,5-8,,June,5-8,5-8,5-8-5-8,S,1,0.005476451,0.833333333,1,1
HD-894-40590,HD,9,9,IN,3,A,02/16/11,02/18/11,46,49,02/27/10,08/06/10,4,2,03/02/10,Other,0,East Coast,5-8,5-8,,February,5-8,5-8,5-8-5-8,H,1,0.047619048,0.93877551,3,1
ST-1052-40704,ST,8,8,OK,5,A,06/10/11,06/14/11,5,6,02/26/10,08/21/10,0,0,03/02/10,Other,0,West,5-8,5-8,,June,5-8,5-8,5-8-5-8,S,1,0.005476451,0.833333333,1,1
HD-1297-40590,HD,9,9,IN,3,A,02/16/11,02/18/11,100,107,03/01/10,08/09/10,14,7,03/02/10,Other,0,East Coast,5-8,5-8,5-8-5-8,February,5-8,5-8,5-8-5-8,H,1,0.109947644,0.9375,7,1
HD-1377-40712,HD,6,7,WI,5,A,06/18/11,06/22/11,12,13,03/01/10,09/01/10,1,0,03/02/10,Other,0,East Coast,5-8,5-8,,June,<5,5-8,<5-5-8,H,0,0.029776675,0.923076923,1,0
HD-1467-40689,HD,7,8,IN,5,T,05/26/11,05/30/11,33,36,03/12/10,08/07/10,8,3,03/02/10,Other,0,East Coast,5-8,>8,,May,2,2,2-2,H,1,0.066,0.916666667,3,0
HD-1515-40590,HD,9,9,IN,3,A,02/16/11,02/18/11,39,43,03/05/10,08/12/10,9,5,03/02/10,Other,0,East Coast,5-8,5-8,5-8-5-8,February,5-8,5-8,5-8-5-8,H,1,0.049118388,0.906976744,4,1
SC-1539-40704,SC,10,13,IN,7,A,06/10/11,06/16/11,8,9,,08/16/10,0,2,03/02/10,Other,0,Costa Rica,>8,>8,,June,>8,>8,>8->8,S,1,0.013605442,0.888888889,1,0
